,A:7,A:aug,A:dim,A:dim7,A:hdim7,A:maj,A:maj6,A:maj7,A:min,A:min6,A:min7,A:minmaj7,A:sus2,A:sus4,Ab:7,Ab:aug,Ab:dim,Ab:dim7,Ab:hdim7,Ab:maj,Ab:maj6,Ab:maj7,Ab:min,Ab:min6,Ab:min7,Ab:minmaj7,Ab:sus2,Ab:sus4,B:7,B:aug,B:dim,B:hdim7,B:maj,B:maj6,B:maj7,B:min,B:min6,B:min7,B:sus2,B:sus4,Bb:7,Bb:aug,Bb:dim,Bb:hdim7,Bb:maj,Bb:maj6,Bb:maj7,Bb:min,Bb:min6,Bb:min7,Bb:minmaj7,Bb:sus2,Bb:sus4,C#:7,C#:aug,C#:dim,C#:dim7,C#:hdim7,C#:maj,C#:maj6,C#:maj7,C#:min,C#:min6,C#:min7,C#:minmaj7,C#:sus2,C#:sus4,C:7,C:aug,C:dim,C:dim7,C:hdim7,C:maj,C:maj6,C:maj7,C:min,C:min6,C:min7,C:minmaj7,C:sus2,C:sus4,D:7,D:aug,D:dim,D:dim7,D:hdim7,D:maj,D:maj6,D:maj7,D:min,D:min6,D:min7,D:sus2,D:sus4,E:7,E:aug,E:dim,E:dim7,E:hdim7,E:maj,E:maj6,E:maj7,E:min,E:min6,E:min7,E:minmaj7,E:sus2,E:sus4,Eb:7,Eb:aug,Eb:dim,Eb:dim7,Eb:hdim7,Eb:maj,Eb:maj6,Eb:maj7,Eb:min,Eb:min6,Eb:min7,Eb:minmaj7,Eb:sus2,Eb:sus4,F#:7,F#:aug,F#:dim,F#:dim7,F#:hdim7,F#:maj,F#:maj6,F#:maj7,F#:min,F#:min6,F#:min7,F#:minmaj7,F#:sus2,F#:sus4,F:7,F:aug,F:dim,F:dim7,F:hdim7,F:maj,F:maj6,F:maj7,F:min,F:min6,F:min7,F:minmaj7,F:sus2,F:sus4,G:7,G:aug,G:dim,G:dim7,G:hdim7,G:maj,G:maj6,G:maj7,G:min,G:min7,G:minmaj7,G:sus2,G:sus4
Ab:minmaj7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Ab:sus2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.08%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0.27%,13.51%,0.00%,1.89%,0.00%,4.05%,4.32%,0.00%,0.00%,0.00%,0.00%,4.59%,0.27%,2.16%,0.00%,0.00%,0.00%,0.27%,0.00%,0.00%,0.00%,0.00%,0.00%,2.43%,0.00%,0.00%,3.24%,0.00%,1.08%,0.00%,1.08%,0.81%,0.00%,0.00%,0.00%,0.00%,0.00%,3.78%,0.27%,1.62%,0.27%,0.00%,0.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.62%,0.00%,0.00%,3.78%,0.00%,4.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.51%,0.00%,0.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.22%,0.27%,1.89%,1.08%,0.00%,0.27%,0.00%,0.27%,1.35%,0.00%,0.00%,0.00%,0.00%,0.00%,1.62%,0.27%,0.00%,0.54%,0.00%,0.00%,0.00%,1.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.27%,0.00%,0.00%,2.43%,0.00%,0.00%,0.00%,0.00%,0.27%,0.00%,0.00%,0.27%,0.00%,0.00%,0.27%,0.00%,0.00%,0.54%,0.54%,0.00%,0.00%,0.00%
Ab:sus4,0.00%,0.00%,0.00%,0.00%,0.00%,1.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.60%,0.00%,0.00%,0.00%,0.00%,20.06%,0.00%,0.00%,9.28%,0.30%,0.30%,0.00%,1.50%,4.19%,0.00%,0.00%,0.00%,0.00%,2.10%,0.00%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,0.00%,0.00%,1.50%,0.00%,1.20%,0.00%,0.30%,0.30%,0.90%,0.00%,0.00%,0.00%,0.00%,27.54%,0.00%,1.50%,5.99%,0.00%,0.90%,0.00%,0.90%,2.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.90%,0.00%,0.00%,0.00%,0.00%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.60%,0.00%,0.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,0.00%,0.00%,0.90%,0.00%,0.00%,0.00%,0.00%,0.90%,0.60%,0.00%,0.00%,0.00%,0.00%,3.89%,0.00%,0.30%,1.20%,0.00%,0.30%,0.00%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.20%,0.00%,0.00%,1.80%,0.00%,0.30%,0.00%,0.00%,0.30%,0.00%,0.00%,0.00%,0.00%,0.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
B:7,1.00%,0.00%,0.00%,0.00%,0.00%,2.00%,2.00%,2.00%,1.00%,0.00%,0.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,2.00%,0.00%,0.00%,3.00%,3.00%,0.00%,0.00%,0.00%,5.00%,0.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,4.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,2.00%,0.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,18.00%,0.00%,1.00%,12.00%,0.00%,5.00%,0.00%,2.00%,2.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.00%,0.00%,4.00%,0.00%,0.00%,0.00%,0.00%,0.00%
B:aug,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
B:dim,0.00%,0.00%,0.00%,0.00%,0.00%,6.06%,0.00%,0.00%,7.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,22.22%,0.00%,3.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.12%,0.00%,1.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.01%,0.00%,0.00%,2.02%,1.01%,1.01%,0.00%,0.00%,1.01%,0.00%,0.00%,0.00%,0.00%,19.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.01%,0.00%,0.00%,0.00%,0.00%,0.00%,1.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.05%,0.00%,0.00%,7.07%,5.05%,0.00%,0.00%,0.00%
B:hdim7,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,3.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.70%,3.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.70%,0.00%,0.00%,0.00%,29.63%,0.00%,0.00%,7.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.81%,0.00%,0.00%,7.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.70%,0.00%,0.00%,3.70%,0.00%,0.00%,7.41%,0.00%
B:maj,0.02%,0.00%,0.00%,0.00%,0.00%,5.52%,0.00%,0.09%,0.78%,0.00%,0.00%,0.00%,0.02%,0.05%,0.07%,0.00%,0.00%,0.00%,0.00%,1.17%,0.00%,0.00%,6.48%,0.00%,0.66%,0.00%,0.05%,0.11%,0.37%,0.00%,0.00%,0.00%,12.23%,0.23%,1.21%,0.80%,0.00%,0.05%,1.97%,0.44%,0.18%,0.00%,0.11%,0.05%,0.50%,0.00%,0.02%,2.70%,0.00%,0.85%,0.00%,0.00%,0.09%,0.25%,0.00%,0.00%,0.00%,0.00%,7.81%,0.14%,0.00%,10.24%,0.00%,1.28%,0.00%,0.57%,0.55%,0.00%,0.05%,0.21%,0.00%,0.00%,1.33%,0.00%,0.09%,0.07%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.85%,0.00%,0.00%,0.05%,0.00%,0.00%,0.02%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,16.88%,0.02%,0.82%,5.11%,0.00%,0.18%,0.00%,1.21%,0.37%,0.23%,0.02%,0.00%,0.00%,0.09%,0.78%,0.00%,0.02%,3.25%,0.00%,0.53%,0.00%,0.07%,0.09%,0.02%,0.00%,0.00%,0.00%,0.00%,7.35%,0.02%,0.64%,0.60%,0.02%,0.00%,0.00%,0.11%,0.34%,0.00%,0.00%,0.02%,0.00%,0.07%,0.02%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.48%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%
B:maj6,0.00%,0.00%,0.00%,0.00%,0.00%,12.24%,0.00%,4.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,28.57%,0.00%,2.04%,2.04%,0.00%,0.00%,2.04%,4.08%,0.00%,0.00%,0.00%,4.08%,0.00%,0.00%,0.00%,0.00%,0.00%,2.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.12%,0.00%,2.04%,8.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.16%,0.00%,0.00%,2.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
B:maj7,0.00%,0.00%,0.00%,0.00%,0.00%,0.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.04%,0.00%,0.00%,25.26%,0.00%,2.08%,0.00%,3.11%,0.69%,0.00%,0.00%,0.00%,0.00%,6.23%,0.00%,7.61%,0.69%,0.35%,0.00%,2.08%,0.00%,0.00%,0.00%,0.00%,0.35%,0.35%,0.00%,0.00%,2.77%,0.00%,2.77%,0.00%,0.00%,1.04%,1.04%,0.00%,0.00%,0.00%,0.00%,7.61%,0.00%,0.00%,1.38%,0.00%,0.00%,0.00%,0.69%,3.81%,0.00%,0.00%,0.00%,0.00%,0.00%,0.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.38%,0.00%,0.69%,0.00%,0.00%,0.00%,0.00%,0.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.77%,0.00%,0.00%,0.69%,0.00%,0.69%,0.00%,0.00%,0.35%,0.00%,0.00%,0.00%,0.00%,0.00%,6.92%,1.73%,0.69%,0.00%,0.00%,0.00%,0.00%,1.73%,0.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
B:min,0.06%,0.00%,0.00%,0.00%,0.00%,7.89%,0.06%,0.03%,3.79%,0.03%,0.34%,0.00%,0.15%,0.28%,0.00%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.06%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.77%,0.00%,0.00%,12.97%,0.03%,1.23%,1.14%,1.39%,0.00%,0.09%,0.09%,0.00%,0.03%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.03%,0.00%,0.00%,1.57%,0.00%,0.00%,2.59%,0.00%,0.15%,0.00%,0.03%,0.28%,0.00%,0.00%,0.00%,0.00%,0.00%,6.10%,0.03%,0.18%,0.03%,0.00%,0.00%,0.00%,0.28%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,3.85%,0.00%,0.46%,0.00%,0.00%,0.09%,0.46%,0.28%,0.12%,0.00%,0.00%,0.00%,0.00%,9.92%,0.00%,0.00%,16.36%,0.00%,1.08%,0.00%,0.43%,0.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,1.20%,0.00%,0.06%,7.95%,0.00%,0.31%,0.00%,0.06%,0.43%,0.00%,0.00%,0.00%,0.03%,0.00%,0.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,11.89%,0.00%,0.74%,0.15%,0.00%,0.00%,0.12%,0.00%
B:min6,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
B:min7,0.00%,0.00%,0.00%,0.00%,0.00%,6.18%,0.77%,0.00%,3.09%,0.39%,3.86%,0.00%,0.39%,0.58%,0.00%,0.00%,0.19%,0.00%,0.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%,0.00%,0.19%,0.00%,0.00%,7.53%,0.00%,5.98%,0.00%,0.58%,0.00%,0.00%,0.00%,0.00%,0.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.19%,0.00%,0.00%,0.19%,0.00%,0.00%,0.00%,0.00%,1.35%,0.00%,0.00%,0.58%,0.00%,0.00%,0.00%,0.00%,0.00%,7.34%,0.39%,0.19%,0.00%,0.00%,0.00%,0.00%,0.77%,0.00%,1.35%,0.00%,0.00%,0.00%,0.00%,4.63%,0.00%,0.77%,0.00%,0.39%,0.58%,0.39%,0.19%,0.00%,0.00%,0.00%,0.00%,0.00%,12.36%,0.00%,0.00%,11.39%,0.00%,5.02%,0.00%,0.00%,2.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%,0.00%,0.00%,1.93%,0.00%,2.70%,0.00%,0.00%,0.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.58%,0.00%,0.77%,0.00%,0.00%,0.00%,0.00%,0.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.81%,0.00%,0.97%,0.00%,0.00%,0.00%,0.58%,0.00%
B:sus2,0.00%,0.00%,0.00%,0.00%,0.00%,2.43%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.66%,0.00%,0.00%,5.30%,0.00%,0.88%,0.00%,0.00%,0.00%,1.10%,0.00%,0.00%,0.00%,24.50%,0.22%,3.31%,9.93%,0.00%,0.66%,4.64%,2.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.44%,0.00%,0.88%,0.00%,0.00%,0.00%,1.10%,0.00%,0.00%,0.00%,0.00%,2.87%,0.00%,0.00%,3.31%,0.00%,0.44%,0.00%,1.55%,1.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,3.31%,0.00%,3.53%,0.66%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.52%,0.00%,0.66%,1.55%,0.00%,0.44%,0.00%,1.77%,0.44%,0.66%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.55%,0.00%,1.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.53%,0.00%,0.44%,1.32%,0.00%,0.00%,0.00%,0.44%,2.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.66%,0.00%,0.22%,0.00%,0.00%,0.00%,0.22%,0.00%
B:sus4,0.00%,0.00%,0.00%,0.00%,0.00%,0.87%,0.43%,0.87%,1.74%,0.00%,1.74%,0.00%,0.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.87%,0.00%,0.00%,0.43%,0.00%,0.87%,0.00%,0.00%,0.00%,0.87%,0.00%,0.00%,0.00%,24.35%,0.00%,0.00%,11.30%,0.00%,0.87%,2.17%,2.61%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.87%,0.00%,0.00%,0.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.87%,0.00%,0.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.43%,0.00%,0.00%,0.00%,0.00%,1.74%,0.00%,1.74%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,23.48%,0.00%,1.30%,4.78%,0.00%,1.74%,0.00%,1.74%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.87%,0.00%,0.00%,0.43%,0.00%,0.43%,0.00%,0.00%,0.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.22%,0.00%,0.43%,0.00%,0.00%,0.00%,1.74%,0.00%
