,A:7,A:aug,A:dim,A:dim7,A:hdim7,A:maj,A:maj6,A:maj7,A:min,A:min6,A:min7,A:minmaj7,A:sus2,A:sus4,Ab:7,Ab:aug,Ab:dim,Ab:dim7,Ab:hdim7,Ab:maj,Ab:maj6,Ab:maj7,Ab:min,Ab:min6,Ab:min7,Ab:minmaj7,Ab:sus2,Ab:sus4,B:7,B:aug,B:dim,B:hdim7,B:maj,B:maj6,B:maj7,B:min,B:min6,B:min7,B:sus2,B:sus4,Bb:7,Bb:aug,Bb:dim,Bb:hdim7,Bb:maj,Bb:maj6,Bb:maj7,Bb:min,Bb:min6,Bb:min7,Bb:minmaj7,Bb:sus2,Bb:sus4,C#:7,C#:aug,C#:dim,C#:dim7,C#:hdim7,C#:maj,C#:maj6,C#:maj7,C#:min,C#:min6,C#:min7,C#:minmaj7,C#:sus2,C#:sus4,C:7,C:aug,C:dim,C:dim7,C:hdim7,C:maj,C:maj6,C:maj7,C:min,C:min6,C:min7,C:minmaj7,C:sus2,C:sus4,D:7,D:aug,D:dim,D:dim7,D:hdim7,D:maj,D:maj6,D:maj7,D:min,D:min6,D:min7,D:sus2,D:sus4,E:7,E:aug,E:dim,E:dim7,E:hdim7,E:maj,E:maj6,E:maj7,E:min,E:min6,E:min7,E:minmaj7,E:sus2,E:sus4,Eb:7,Eb:aug,Eb:dim,Eb:dim7,Eb:hdim7,Eb:maj,Eb:maj6,Eb:maj7,Eb:min,Eb:min6,Eb:min7,Eb:minmaj7,Eb:sus2,Eb:sus4,F#:7,F#:aug,F#:dim,F#:dim7,F#:hdim7,F#:maj,F#:maj6,F#:maj7,F#:min,F#:min6,F#:min7,F#:minmaj7,F#:sus2,F#:sus4,F:7,F:aug,F:dim,F:dim7,F:hdim7,F:maj,F:maj6,F:maj7,F:min,F:min6,F:min7,F:minmaj7,F:sus2,F:sus4,G:7,G:aug,G:dim,G:dim7,G:hdim7,G:maj,G:maj6,G:maj7,G:min,G:min7,G:minmaj7,G:sus2,G:sus4,end_chord,start_chord
Ab:minmaj7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,66.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Ab:sus2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.93%,0.00%,0.00%,0.00%,0.00%,19.99%,0.00%,0.15%,12.56%,0.00%,1.62%,0.00%,3.64%,4.19%,0.00%,0.00%,0.00%,0.00%,4.81%,0.11%,1.40%,0.00%,0.00%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,2.49%,0.00%,0.00%,3.04%,0.00%,1.02%,0.00%,0.71%,0.85%,0.00%,0.00%,0.00%,0.00%,0.00%,4.18%,0.33%,1.61%,0.18%,0.00%,0.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.57%,0.00%,0.00%,4.16%,0.00%,3.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.72%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.52%,0.15%,2.34%,0.96%,0.00%,0.18%,0.00%,0.30%,1.38%,0.00%,0.00%,0.00%,0.00%,0.00%,1.67%,0.18%,0.00%,0.53%,0.00%,0.00%,0.00%,1.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.26%,0.00%,0.00%,2.49%,0.00%,0.00%,0.00%,0.00%,0.30%,0.00%,0.00%,0.38%,0.00%,0.00%,0.34%,0.00%,0.00%,0.66%,0.45%,0.00%,0.00%,0.00%,1.44%,0.00%
Ab:sus4,0.00%,0.00%,0.00%,0.00%,0.00%,1.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.66%,0.00%,0.00%,0.00%,0.00%,19.29%,0.00%,0.00%,9.70%,0.29%,0.24%,0.00%,1.28%,3.73%,0.00%,0.00%,0.00%,0.00%,2.30%,0.00%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.45%,0.00%,0.00%,1.55%,0.00%,1.13%,0.00%,0.22%,0.28%,0.82%,0.00%,0.00%,0.00%,0.00%,25.91%,0.00%,1.47%,6.85%,0.00%,0.72%,0.00%,0.84%,2.72%,0.00%,0.00%,0.00%,0.00%,0.00%,0.73%,0.00%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.74%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.70%,0.00%,0.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.29%,0.00%,0.00%,0.65%,0.00%,0.00%,0.00%,0.00%,0.91%,0.48%,0.00%,0.00%,0.00%,0.00%,4.61%,0.00%,0.35%,1.09%,0.00%,0.39%,0.00%,0.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.51%,0.00%,0.00%,2.15%,0.00%,0.25%,0.00%,0.00%,0.25%,0.00%,0.00%,0.00%,0.00%,0.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.17%,0.00%
B:7,0.91%,0.00%,0.00%,0.00%,0.00%,2.09%,1.59%,1.57%,1.17%,0.00%,0.00%,0.00%,4.82%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.06%,0.00%,1.59%,0.00%,0.00%,3.41%,3.09%,0.00%,0.00%,0.00%,5.72%,0.00%,0.00%,5.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.26%,0.00%,0.00%,5.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.20%,0.00%,0.00%,0.00%,0.00%,0.55%,0.00%,0.00%,3.13%,0.00%,0.00%,1.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,17.59%,0.00%,0.75%,11.13%,0.00%,4.42%,0.00%,1.86%,1.94%,0.00%,1.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.94%,0.00%,3.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
B:aug,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
B:dim,0.00%,0.00%,0.00%,0.00%,0.00%,6.44%,0.00%,0.00%,7.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,22.69%,0.00%,3.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.44%,0.00%,0.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.88%,0.00%,0.00%,1.36%,0.68%,1.04%,0.00%,0.00%,1.27%,0.00%,0.00%,0.00%,0.00%,20.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.94%,0.00%,0.00%,0.00%,0.00%,0.00%,1.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.32%,0.00%,0.00%,6.18%,4.32%,0.00%,0.00%,0.00%,0.00%,0.00%
B:hdim7,0.00%,0.00%,0.00%,0.00%,0.00%,10.47%,0.00%,0.00%,0.00%,0.00%,2.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.25%,3.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.63%,0.00%,0.00%,0.00%,33.18%,0.00%,0.00%,7.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.72%,0.00%,0.00%,10.87%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.25%,0.00%,0.00%,2.86%,0.00%,0.00%,5.36%,0.00%,0.00%,0.00%
B:maj,0.02%,0.00%,0.00%,0.00%,0.00%,5.79%,0.00%,0.08%,0.75%,0.00%,0.00%,0.00%,0.02%,0.10%,0.07%,0.00%,0.00%,0.00%,0.00%,1.23%,0.00%,0.00%,6.69%,0.00%,0.58%,0.00%,0.06%,0.11%,0.37%,0.00%,0.00%,0.00%,11.29%,0.14%,1.16%,0.78%,0.00%,0.03%,1.69%,0.38%,0.21%,0.00%,0.11%,0.05%,0.54%,0.00%,0.02%,2.76%,0.00%,0.76%,0.00%,0.00%,0.10%,0.22%,0.00%,0.00%,0.00%,0.00%,7.74%,0.15%,0.00%,10.68%,0.00%,1.08%,0.00%,0.48%,0.48%,0.00%,0.03%,0.20%,0.00%,0.00%,1.24%,0.00%,0.09%,0.07%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,1.01%,0.00%,0.00%,0.05%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,17.61%,0.02%,0.88%,4.94%,0.00%,0.20%,0.00%,1.01%,0.40%,0.24%,0.02%,0.00%,0.00%,0.09%,0.77%,0.00%,0.01%,3.47%,0.00%,0.41%,0.00%,0.07%,0.08%,0.02%,0.00%,0.00%,0.00%,0.00%,7.03%,0.01%,0.59%,0.67%,0.02%,0.00%,0.00%,0.12%,0.32%,0.00%,0.00%,0.02%,0.00%,0.05%,0.02%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.52%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.77%,0.00%
B:maj6,0.00%,0.00%,0.00%,0.00%,0.00%,15.93%,0.00%,3.82%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.54%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,27.45%,0.00%,1.89%,2.30%,0.00%,0.00%,2.29%,3.05%,0.00%,0.00%,0.00%,3.36%,0.00%,0.00%,0.00%,0.00%,0.00%,1.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.89%,0.00%,2.72%,8.26%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.48%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.37%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.90%,0.00%,0.00%,2.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
B:maj7,0.00%,0.00%,0.00%,0.00%,0.00%,1.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.92%,0.00%,0.00%,28.38%,0.00%,1.87%,0.00%,1.64%,0.56%,0.00%,0.00%,0.00%,0.00%,5.06%,0.00%,6.50%,0.81%,0.37%,0.00%,1.68%,0.00%,0.00%,0.00%,0.00%,0.42%,0.14%,0.00%,0.00%,3.26%,0.00%,1.47%,0.00%,0.00%,1.07%,0.61%,0.00%,0.00%,0.00%,0.00%,8.07%,0.00%,0.00%,1.39%,0.00%,0.00%,0.00%,0.71%,3.79%,0.00%,0.00%,0.00%,0.00%,0.00%,0.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.92%,0.00%,1.23%,0.00%,0.00%,0.00%,0.00%,0.48%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.92%,0.00%,0.00%,1.07%,0.00%,0.49%,0.00%,0.00%,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,5.83%,1.27%,0.75%,0.00%,0.00%,0.00%,0.00%,2.19%,0.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.53%,0.00%
B:min,0.07%,0.00%,0.00%,0.00%,0.00%,8.28%,0.07%,0.03%,3.61%,0.04%,0.36%,0.00%,0.15%,0.27%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.06%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.74%,0.00%,0.00%,12.59%,0.02%,1.03%,1.02%,1.27%,0.00%,0.11%,0.12%,0.00%,0.02%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.03%,0.00%,0.00%,1.57%,0.00%,0.00%,2.72%,0.00%,0.12%,0.00%,0.03%,0.26%,0.00%,0.00%,0.00%,0.00%,0.00%,5.95%,0.03%,0.14%,0.03%,0.00%,0.00%,0.00%,0.23%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,3.69%,0.00%,0.36%,0.00%,0.00%,0.12%,0.47%,0.22%,0.10%,0.00%,0.00%,0.00%,0.00%,10.12%,0.00%,0.00%,16.52%,0.00%,0.99%,0.00%,0.43%,0.72%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,1.32%,0.00%,0.07%,8.46%,0.00%,0.20%,0.00%,0.09%,0.42%,0.00%,0.00%,0.00%,0.02%,0.00%,0.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.00%,0.00%,0.00%,0.00%,11.77%,0.00%,0.66%,0.17%,0.00%,0.00%,0.15%,0.00%,0.48%,0.00%
B:min6,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,63.93%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,36.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
B:min7,0.00%,0.00%,0.00%,0.00%,0.00%,5.71%,0.74%,0.00%,3.02%,0.24%,3.97%,0.00%,0.38%,0.48%,0.00%,0.00%,0.15%,0.00%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.28%,0.00%,0.10%,0.00%,0.00%,7.62%,0.00%,5.17%,0.00%,0.47%,0.00%,0.00%,0.00%,0.00%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.17%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,1.84%,0.00%,0.00%,0.41%,0.00%,0.00%,0.00%,0.00%,0.00%,7.42%,0.24%,0.16%,0.00%,0.00%,0.00%,0.00%,0.61%,0.00%,1.73%,0.00%,0.00%,0.00%,0.00%,4.07%,0.00%,0.69%,0.00%,0.46%,0.90%,0.32%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,13.25%,0.00%,0.00%,11.34%,0.00%,5.08%,0.00%,0.00%,1.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.47%,0.00%,0.00%,2.34%,0.00%,2.44%,0.00%,0.00%,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.52%,0.00%,0.54%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.96%,0.00%,0.85%,0.00%,0.00%,0.00%,0.47%,0.00%,0.27%,0.00%
B:sus2,0.00%,0.00%,0.00%,0.00%,0.00%,2.72%,0.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.66%,0.00%,0.00%,5.74%,0.00%,1.01%,0.00%,0.00%,0.00%,0.93%,0.00%,0.00%,0.00%,24.66%,0.17%,2.72%,10.23%,0.00%,0.68%,4.48%,2.66%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%,0.00%,0.80%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,3.07%,0.00%,0.00%,3.55%,0.00%,0.28%,0.00%,1.37%,1.81%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.00%,0.00%,0.00%,0.00%,3.38%,0.00%,3.43%,0.75%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.10%,0.00%,0.61%,1.63%,0.00%,0.37%,0.00%,1.50%,0.24%,0.59%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.51%,0.00%,0.94%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.09%,0.00%,0.53%,0.97%,0.00%,0.00%,0.00%,0.50%,2.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.73%,0.00%,0.29%,0.00%,0.00%,0.00%,0.17%,0.00%,0.81%,0.00%
B:sus4,0.00%,0.00%,0.00%,0.00%,0.00%,1.07%,0.63%,1.19%,1.45%,0.00%,1.05%,0.00%,0.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.66%,0.00%,0.00%,0.25%,0.00%,1.00%,0.00%,0.00%,0.00%,0.63%,0.00%,0.00%,0.00%,23.64%,0.00%,0.00%,10.77%,0.00%,0.74%,2.85%,2.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.61%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.67%,0.00%,0.00%,0.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.84%,0.00%,0.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.52%,0.00%,0.00%,0.00%,0.00%,1.59%,0.00%,1.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,22.52%,0.00%,1.09%,5.76%,0.00%,1.79%,0.00%,1.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.09%,0.00%,0.00%,0.53%,0.00%,0.38%,0.00%,0.00%,0.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.11%,0.00%,0.23%,0.00%,0.00%,0.00%,2.15%,0.00%,0.94%,0.00%
